! Transport data

! "Experimental and Detailed Kinetic Model for the Oxidation of a Gas to Liquid
! Jet Fuel"
! Philippe Dagaut, Florent Karsenty, Guillaume Dayma, Pascal DiÈvart, Kamal Hadj-
! Ali, Amir MzÈ-Ahmed,
! Centre National de la Recherche Scientifique, 1C, Avenue de la Recherche
! Scientifique - 45071 OrlÈans Cedex 2 - France
! Marina Braun-Unkhoff, J¸rgen Herzler, Trupti Kathrotia, Thomas Kick, Clemens
! Naumann, Uwe Riedel, Levi Thomas
! Institute of Combustion Technology, German Aerospace Center (DLR),
! Pfaffenwaldring 38-40, 70569 Stuttgart, Germany
! On exchange from Wright Patterson Air Force Base - Ohio, USA

he                 0    10.200     2.576     0.000     0.000     0.000
ar                 0   136.500     3.330     0.000     0.000     0.000
a                  0   136.500     3.330     0.000     0.000     0.000
e                  0   850.        425.      0.000     0.000     1.000
cl                 0   130.8       3.613     0.000     0.000     1.000
cl-                0   130.8       3.613     0.000     0.000     1.000
hcl                1   344.7       3.339     1.084     0.000     1.000
f                  0    80.000     2.750     0.000     0.000     0.000
hf                 1   330.000     3.148     1.920     2.460     1.000
hf0                1   352.000     2.490     1.730     0.000     5.000
hf1                1   352.000     2.490     1.730     0.000     5.000
hf2                1   352.000     2.490     1.730     0.000     5.000
hf3                1   352.000     2.490     1.730     0.000     5.000
hf4                1   352.000     2.490     1.730     0.000     5.000
hf5                1   352.000     2.490     1.730     0.000     5.000
hf6                1   352.000     2.490     1.730     0.000     5.000
hf7                1   352.000     2.490     1.730     0.000     5.000
hf8                1   352.000     2.490     1.730     0.000     5.000
f2                 1   125.700     3.301     0.000     1.600     3.800
h                  0   145.000     2.050     0.000     0.000     0.000
oh                 1    80.000     2.750     0.000     0.000     0.000
ho2                2   107.400     3.458     0.000     0.000     1.000
h2                 1    38.000     2.920     0.000     0.790   280.000
h2o                2   572.400     2.605     1.844     0.000     4.000
h2o2               2   107.400     3.458     0.000     0.000     3.800
o                  0    80.000     2.750     0.000     0.000     0.000
o2                 1   107.400     3.458     0.000     1.600     3.800
o3                 2   180.000     4.100     0.000     0.000     2.000
n                  0    71.400     3.298     0.000     0.000     0.000
nh                 1    80.000     2.650     0.000     0.000     4.000
hno                2   116.700     3.492     0.000     0.000     1.000
hono               2   232.400     3.828     0.000     0.000     1.000
nh2                2    80.000     2.650     0.000     2.260     4.000
h2no               2   116.700     3.492     0.000     0.000     1.000
hnoh               2   116.700     3.492     0.000     0.000     1.000
nh3                2   481.000     2.920     1.470     0.000    10.000
n2                 1    97.530     3.621     0.000     1.760     4.000
nnh                2    71.400     3.798     0.000     0.000     1.000
hnno               2   232.400     3.828     0.000     0.000     1.000
n2h2               2    71.400     3.798     0.000     0.000     1.000
n2h3               2   200.000     3.900     0.000     0.000     1.000
n2h4               2   205.000     4.230     0.000     4.260     1.500
n2o                1   232.400     3.828     0.000     0.000     1.000
no                 1    97.530     3.621     0.000     1.760     4.000
no2                2   200.000     3.500     0.000     0.000     1.000
s                  0   847.000     3.839     0.000     0.000     0.000
sh                 1   847.000     3.900     0.000     0.000     1.000
hso2               2   252.000     4.290     0.000     0.000     1.000
h2s                2   301.000     3.600     0.000     0.000     1.000
so                 1   301.000     3.993     0.000     0.000     1.000
so2                2   252.000     4.290     0.000     0.000     1.000
so3                2   378.400     4.175     0.000     0.000     1.000
s2                 1   847.000     3.900     0.000     0.000     1.000
C                  0    71.400     3.298     0.000     0.000     0.000
ch                 1    80.000     2.750     0.000     0.000     0.000
hcn                1   569.000     3.630     0.000     0.000     1.000
hcno               2   232.400     3.828     0.000     0.000     1.000
hocn               2   232.400     3.828     0.000     0.000     1.000
hnco               2   232.400     3.828     0.000     0.000     1.000
hcnn               2   150.000     2.500     0.000     0.000     1.000
hco                2   498.000     3.590     0.000     0.000     0.000
cho                2   498.000     3.590     0.000     0.000     0.000
hco+               1   498.000     3.590     0.000     0.000     0.000
cho+               1   498.000     3.590     0.000     0.000     0.000
ch2                1   144.000     3.800     0.000     0.000     0.000
sch2               1   144.000     3.800     0.000     0.000     0.000
ch2(s)             1   144.000     3.800     0.000     0.000     0.000
h2cn               1   569.000     3.630     0.000     0.000     1.000
ch2o               2   498.000     3.590     0.000     0.000     2.000
ch3                1   144.000     3.800     0.000     0.000     0.000
ch3o               2   417.000     3.690     1.700     0.000     2.000
ch2oh              2   417.000     3.690     1.700     0.000     2.000
ch3o2              2   481.800     3.626     0.000     0.000     1.000
ch3no3             2   232.400     3.828     0.000     0.000     1.000
ch4                2   141.400     3.746     0.000     2.600    13.000
ch4o               2   417.000     3.690     1.700     0.000     2.000
ch3oh              2   481.800     3.626     0.000     0.000     1.000
ch3o2h             2   481.800     3.626     0.000     0.000     1.000
cn                 1    75.000     3.856     0.000     0.000     1.000
nco                1   232.400     3.828     0.000     0.000     1.000
cn2                1   232.400     3.828     0.000     0.000     1.000
ncn                1   232.400     3.828     0.000     0.000     1.000
cnn                1   232.400     3.828     0.000     0.000     1.000
ncno               2   232.400     3.828     0.000     0.000     1.000
co                 1    98.100     3.650     0.000     1.950     1.800
co2                1   244.000     3.763     0.000     2.650     2.100
c2                 1    97.530     3.621     0.000     1.760     4.000
c2h                1   209.000     4.100     0.000     0.000     2.500
hc2n2              1   349.000     4.361     0.000     0.000     1.000
hcco               2   150.000     2.500     0.000     0.000     1.000
c2h2               1   209.000     4.100     0.000     0.000     2.500
hccoh              2   436.000     3.970     0.000     0.000     2.000
ch2co              2   436.000     3.970     0.000     0.000     2.000
choco              2   436.000     3.970     0.000     0.000     2.000
c2h3               2   209.000     4.100     0.000     0.000     1.000
c2h3o              2   436.000     3.970     0.000     0.000     2.000
c2h2oh             2   224.700     4.162     0.000     0.000     1.000
ch2hco             2   436.000     3.970     0.000     0.000     2.000
ch3co              2   436.000     3.970     0.000     0.000     2.000
ch2cho             2   436.000     3.970     0.000     0.000     2.000
ch2chow            2   436.000     3.970     0.000     0.000     2.000
ch3co              2   436.000     3.970     0.000     0.000     2.000
ch3co2             2   436.000     3.970     0.000     0.000     2.000
ch3co3             2   436.000     3.970     0.000     0.000     2.000
c2h4               2   280.800     3.971     0.000     0.000     1.500
c2h4o              2   436.000     3.970     0.000     0.000     2.000
c2h4o2h            2   436.000     3.970     0.000     0.000     2.000
ch3hco             2   436.000     3.970     0.000     0.000     2.000
ch3cho             2   436.000     3.970     0.000     0.000     2.000
ch3hcow            2   436.000     3.970     0.000     0.000     2.000
ch3cho             2   436.000     3.970     0.000     0.000     2.000
chocho             2   436.000     3.970     0.000     0.000     2.000
ch3co2h            2   436.000     3.970     0.000     0.000     2.000
ch3co3h            2   436.000     3.970     0.000     0.000     2.000
c2h5               2   252.300     4.302     0.000     0.000     1.500
c2h5o2             2   391.000     4.455     0.000     0.000     1.000
c2h5o2h            2   391.000     4.455     0.000     0.000     1.000
pc2h5o             2   391.000     4.455     0.000     0.000     1.000
sc2h5o             2   391.000     4.455     0.000     0.000     1.000
c2h5o              2   391.000     4.455     0.000     0.000     1.000
c2h6               2   252.300     4.302     0.000     0.000     1.500
c2h5oh             2   391.000     4.455     0.000     0.000     1.000
ch3o2ch3           2   357.000     5.180     0.000     0.000     1.000
cnc                1   232.400     3.828     0.000     0.000     1.000
c2n                1   232.400     3.828     0.000     0.000     1.000
c2n2               1   349.000     4.361     0.000     0.000     1.000
c2o                1   232.400     3.828     0.000     0.000     1.000
c3h2               2   209.000     4.100     0.000     0.000     1.000
c3h2o              2   209.000     4.100     0.000     0.000     1.000
c3h3               1   252.000     4.760     0.000     0.000     1.000
c3h3o              1   252.000     4.760     0.000     0.000     1.000
h2ccch             2   252.000     4.760     0.000     0.000     1.000
ch3cc              2   252.000     4.760     0.000     0.000     1.000
c3h4               1   252.000     4.760     0.000     0.000     1.000
c3h4p              1   252.000     4.760     0.000     0.000     1.000
pc3h4              1   252.000     4.760     0.000     0.000     1.000
ac3h4              1   252.000     4.760     0.000     0.000     1.000
aceton             1   252.000     4.760     0.000     0.000     1.000
metacrol           1   252.000     4.760     0.000     0.000     1.000
c3h4c              1   252.000     4.760     0.000     0.000     1.000
sc3h5              2   260.000     4.850     0.000     0.000     1.000
ac3h5              2   260.000     4.850     0.000     0.000     1.000
c3h5               2   260.000     4.850     0.000     0.000     1.000
ch3cch2            2   260.000     4.850     0.000     0.000     1.000
ch2chch2           2   260.000     4.850     0.000     0.000     1.000
ch3chch            2   260.000     4.850     0.000     0.000     1.000
c3h5o              2   260.000     4.850     0.000     0.000     1.000
c3h4oh             2   260.000     4.850     0.000     0.000     1.000
c3h5co             2   357.000     5.180     0.000     0.000     1.000
c3h6               2   266.800     4.982     0.000     0.000     1.000
c3h6o              2   391.000     4.455     0.000     0.000     1.000
ch2coch3           2   391.000     4.455     0.000     0.000     1.000
c3h4o2h            2   391.000     4.455     0.000     0.000     1.000
ic3h7              2   266.800     4.982     0.000     0.000     1.000
nc3h7              2   266.800     4.982     0.000     0.000     1.000
ic3h7o             2   266.800     4.982     0.000     0.000     1.000
nc3h7o             2   266.800     4.982     0.000     0.000     1.000
c3h6oh             2   391.000     4.455     0.000     0.000     1.000
ic3h7o2            2   266.800     4.982     0.000     0.000     1.000
nc3h7o2            2   266.800     4.982     0.000     0.000     1.000
o2c3h6oh           2   391.000     4.455     0.000     0.000     1.000
c3h7               2   266.800     4.982     0.000     0.000     1.000
c3h5o2h            2   260.000     4.850     0.000     0.000     1.000
tc3h5              2   260.000     4.850     0.000     0.000     1.000
c3h8               2   266.800     4.982     0.000     0.000     1.000
ic3h7o2h           2   266.800     4.982     0.000     0.000     1.000
nc3h7o2h           2   266.800     4.982     0.000     0.000     1.000
c4h                1   357.000     5.180     0.000     0.000     1.000
c4h2               1   357.000     5.180     0.000     0.000     1.000
h2c4o              2   357.000     5.180     0.000     0.000     1.000
c4h3               2   357.000     5.180     0.000     0.000     1.000
ic4h3              2   357.000     5.180     0.000     0.000     1.000
nc4h3              2   357.000     5.180     0.000     0.000     1.000
ch2chcch           2   357.000     5.180     0.000     0.000     1.000
ch2chcch2          2   357.000     5.180     0.000     0.000     1.000
h2cccch            2   357.000     5.180     0.000     0.000     1.000
hcchcch            2   357.000     5.180     0.000     0.000     1.000
c4h2oh             2   224.700     4.162     0.000     0.000     1.000
c4h4               2   243.0       4.92      0.0       0.0       1.0
