"τ (μs)(1000 / T [K]), created by Plot Digitizer, 2.6.8"
"Date: 8/7/19, 11:40:34 AM"


20
1000 / T [K], τ (μs)
0.566300,     20.8904,
0.584974,     19.7845,
0.600672,     26.7018,
0.624339,     36.0075,
0.632572,     54.7245,
0.638300,     56.1444,
0.659736,     101.041,
0.678154,     80.7021,
0.685632,     98.1598,
0.689128,     127.534,
0.709056,     159.035,
0.714293,     193.484,
0.717529,     188.414,
0.724510,     241.520,
0.726998,     229.124,
0.738216,     313.460,
0.757389,     316.958,
0.781548,     365.191,
0.794012,     526.437,
0.800728,     437.868,
